site,c_s,a,g,b0,i_max,t_ice,sm,ro,et,sum
Germany,210,2,0.2,0.8,40,0,0.8640475940239372,0.5974358363583764,0.8795571019620133,2.341040532344327
Germany,210,2,0.2,0.8,40,3,0.8612500473159994,0.5658790264535591,0.8799840653901311,2.3071131391596897
Germany,210,2,0.2,0.8,200,-3,0.8632978918509335,0.598149146808405,0.8795033405935636,2.3409503792529023
Germany,210,2,0.2,0.8,200,0,0.8636421823022421,0.5938733202390843,0.8796196097623765,2.337135112303703
Germany,210,2,0.2,0.8,200,3,0.860789426808489,0.5622522532118194,0.8800445420296291,2.3030862220499375
Germany,210,2,0.5,0.4,20,-3,0.8677893130732803,0.6010646531782357,0.8876427483076726,2.3564967145591886
Germany,210,2,0.5,0.4,20,0,0.8675131945259663,0.5997798850582181,0.887784528520374,2.3550776081045584
Germany,210,2,0.5,0.4,20,3,0.8662771746892602,0.5950270967485907,0.8883386289851231,2.349642900422974
Germany,210,2,0.5,0.4,40,-3,0.872002978005938,0.5867385164078592,0.8888907204276619,2.3476322148414592
Germany,210,2,0.5,0.4,40,0,0.8712892020915506,0.5856539137678837,0.8890014730173565,2.345944588876791
Germany,210,2,0.5,0.4,40,3,0.8657444905396309,0.5761832713976016,0.8895022547962628,2.3314300167334956
Germany,210,2,0.5,0.4,200,-3,0.87150620746829,0.5842754258791558,0.8889500399864312,2.344731673333877
Germany,210,2,0.5,0.4,200,0,0.8707827983860522,0.5831851892338648,0.889060614476456,2.343028602096373
Germany,210,2,0.5,0.4,200,3,0.8651644467318997,0.5736924775241738,0.8895597324350344,2.328416656691108
Germany,210,2,0.5,0.6,20,-3,0.8653047024776106,0.6226275679215804,0.8749769741924129,2.362909244591604
Germany,210,2,0.5,0.6,20,0,0.8652346189166191,0.6203564252459123,0.8752216272934827,2.360812671456014
Germany,210,2,0.5,0.6,20,3,0.8640101090665974,0.6118640764783166,0.8762348407687942,2.352109026313708
Germany,210,2,0.5,0.6,40,-3,0.8674624468872031,0.6008510401925133,0.877041889755714,2.34535537683543
Germany,210,2,0.5,0.6,40,0,0.866869196819269,0.5989322507967967,0.8772390832739937,2.3430405308900593
Germany,210,2,0.5,0.6,40,3,0.8618589763996968,0.5824244436129236,0.878154200268159,2.3224376202807795
Germany,210,2,0.5,0.6,200,-3,0.8671189933804763,0.5980085899519259,0.8771105361893917,2.342238119521794
Germany,210,2,0.5,0.6,200,0,0.8665189920524407,0.5960795276764101,0.8773073766540775,2.3399058963829287
Germany,210,2,0.5,0.6,200,3,0.861455981900209,0.5795349942964408,0.8782191067400587,2.3192100829367086
Germany,210,2,0.5,0.8,20,-3,0.8595222605025712,0.6297943777171215,0.8566345522723342,2.345951190492027
Germany,210,2,0.5,0.8,20,0,0.859585862178053,0.6265272297232175,0.8570175226424477,2.3431306145437185
Germany,210,2,0.5,0.8,20,3,0.8580578669714501,0.6133593215758677,0.8586772446073561,2.330094433154674
Germany,210,2,0.5,0.8,40,-3,0.86101864812654,0.6012698247417511,0.8598710128820475,2.3221594857503387
Germany,210,2,0.5,0.8,40,0,0.8605195569177165,0.598306842836024,0.8601860198780837,2.3190124196318243
Germany,210,2,0.5,0.8,40,3,0.8558109965603816,0.5740898912885191,0.8616766020837628,2.2915774899326635
Germany,210,2,0.5,0.8,200,-3,0.8607737815653036,0.5979533492982072,0.8599559270576124,2.318683057921123
Germany,210,2,0.5,0.8,200,0,0.8602694188618514,0.5949750155300433,0.8602703134736222,2.315514747865517
Germany,210,2,0.5,0.8,200,3,0.8555193179987423,0.5707158873690459,0.8617549121563564,2.287990117524145
Germany,210,2,0.8,0.4,20,-3,0.8626301512514525,0.5950225588048788,0.8795676759992884,2.3372203860556198
Germany,210,2,0.8,0.4,20,0,0.8621269896832564,0.5938391048381634,0.8798117380887305,2.33577783261015
Germany,210,2,0.8,0.4,20,3,0.8601076156146088,0.5895647666201649,0.8807326931031759,2.3304050753379495
