site,c_s,a,g,b0,sm,ro,et,sum
Spain,420,8,0.2,0.4,0.7149427258147552,0.33178060765594297,0.7229269225016735,1.7696502559723717
Spain,420,8,0.2,0.6,,,,
Spain,420,8,0.2,0.8,,,,
Spain,420,8,0.5,0.4,0.7895683928675246,0.3981037308461388,0.7635151242932535,1.9511872480069168
Spain,420,8,0.5,0.6,0.7379921892759769,0.31570152635385484,0.8042899106784276,1.8579836263082594
Spain,420,8,0.5,0.8,0.7543831690581163,0.2720558849827608,0.8239248935640977,1.8503639476049747
Spain,420,8,0.8,0.4,0.8289381942898468,0.45493484444960136,0.7891581924315277,2.073031231170976
Spain,420,8,0.8,0.6,0.793358673024201,0.3680504973104206,0.8254354567160597,1.9868446270506812
Spain,420,8,0.8,0.8,0.7903928365157668,0.33652718613028315,0.8410919745368848,1.9680119971829346
Spain,840,2,0.2,0.4,0.5015728105512443,0.3791307804345526,0.7031336740540683,1.583837265039865
Spain,840,2,0.2,0.6,,,,
Spain,840,2,0.2,0.8,,,,
Spain,840,2,0.5,0.4,0.5531090306163285,0.42869899073059126,0.7281542974637649,1.7099623188106847
Spain,840,2,0.5,0.6,0.5303891293471894,0.33687403885951706,0.7544250145949274,1.6216881828016338
Spain,840,2,0.5,0.8,0.5315392174759684,0.2567072906311255,0.7740200362406339,1.562266544347728
Spain,840,2,0.8,0.4,0.5870719229731253,0.45296509837655247,0.7446657500569066,1.7847027714065842
Spain,840,2,0.8,0.6,0.5722157332997623,0.40215698791797133,0.7690163046798407,1.7433890258975744
Spain,840,2,0.8,0.8,0.5703382102247644,0.35149506692427057,0.7847543534177965,1.7065876305668315
Spain,840,4,0.2,0.4,0.5861748987232348,0.3543071470959695,0.6984253563280877,1.638907402147292
Spain,840,4,0.2,0.6,,,,
Spain,840,4,0.2,0.8,,,,
Spain,840,4,0.5,0.4,0.645743969499429,0.41125372586481884,0.725402974509314,1.782400669873562
Spain,840,4,0.5,0.6,0.5701105392310991,0.2502231035363105,0.7511245318711076,1.5714581746385172
Spain,840,4,0.5,0.8,0.5421524283572399,0.13546278373075796,0.769599900422735,1.4472151125107326
Spain,840,4,0.8,0.4,0.6849872382640725,0.4454249239172526,0.7447846621669207,1.8751968243482457
Spain,840,4,0.8,0.6,0.6321843087353577,0.338921460354365,0.7711063316323755,1.742212100722098
Spain,840,4,0.8,0.8,0.6043983409596357,0.23929825344422062,0.787379317033493,1.6310759114373492
Spain,840,8,0.2,0.4,0.6364860158917051,0.33484554519297693,0.6954460487641281,1.66677760984881
Spain,840,8,0.2,0.6,0.47189858530114537,0.08016362775311173,0.7184272151034954,1.2704894281577523
Spain,840,8,0.2,0.8,,,,
Spain,840,8,0.5,0.4,0.6951147041697259,0.3880473889225448,0.7223108253144401,1.8054729184067109
Spain,840,8,0.5,0.6,0.5740480218557619,0.17801777048278072,0.7462431023771473,1.4983088947156897
Spain,840,8,0.5,0.8,0.5313420821389566,0.06266284273742771,0.762751117564334,1.3567560424407183
Spain,840,8,0.8,0.4,0.7354577863152629,0.42623278326496317,0.7426413374072152,1.9043319069874414
Spain,840,8,0.8,0.6,0.6448385786347498,0.2711431137306701,0.7689801627203229,1.6849618550857428
Spain,840,8,0.8,0.8,0.6008842811837274,0.13406171242411755,0.7835178971693598,1.5184638907772048
Sweden,210,2,0.2,0.4,-0.34381614277973005,0.08269367757416228,0.8731189373201086,0.6119964721145408
Sweden,210,2,0.2,0.6,-0.34826222188527345,0.05841895834828351,0.8666528312820793,0.5768095677450893
Sweden,210,2,0.2,0.8,-0.3574716663918793,0.024354283748823584,0.855962895540888,0.5228455128978323
Sweden,210,2,0.5,0.4,-0.3649268623891652,0.08204578004893863,0.8623257098169497,0.5794446274767231
Sweden,210,2,0.5,0.6,-0.3806020419382159,0.059538802966642004,0.8488247392403141,0.5277615002687401
Sweden,210,2,0.5,0.8,-0.39762770854218626,0.03180247403358048,0.8317464293365201,0.46592119482791433
Sweden,210,2,0.8,0.4,-0.3825828594926136,0.08174419162578347,0.8521495593833239,0.5513108915164938
Sweden,210,2,0.8,0.6,-0.4051816123021195,0.06068757267841832,0.8331582269027779,0.4886641872790767
Sweden,210,2,0.8,0.8,-0.42674878123360094,0.03613774012634336,0.8115677190402936,0.420956677933036
Sweden,210,4,0.2,0.4,-0.31377754960342585,0.07679398272675439,0.8766112165521094,0.639627649675438
Sweden,210,4,0.2,0.6,-0.2960852666474685,0.054639883064311355,0.8718606844552695,0.6304153008721124
Sweden,210,4,0.2,0.8,-0.2967928026024921,0.02364329225200166,0.8625549063602891,0.5894053960097987
Sweden,210,4,0.5,0.4,-0.33483455679229523,0.07598634302331168,0.8708207798694714,0.6119725661004878
Sweden,210,4,0.5,0.6,-0.3312714965014947,0.05301742633555057,0.8611732498428103,0.5829191796768662
Sweden,210,4,0.5,0.8,-0.337567349838502,0.02689292039544278,0.8468238550768221,0.5361494256337629
Sweden,210,4,0.8,0.4,-0.3524975670684188,0.07559321376515724,0.8653806402361658,0.5884762869329042
Sweden,210,4,0.8,0.6,-0.3580284737547525,0.052788670319083915,0.8521654750949443,0.5469256716592757
Sweden,210,4,0.8,0.8,-0.36887159183904594,0.028562061617850146,0.8349530829831254,0.4946435527619296
Sweden,210,8,0.2,0.4,-0.24801474423786374,0.07215197587769132,0.8788658144432675,0.703003046083095
Sweden,210,8,0.2,0.6,-0.1982259019258708,0.05871571917621798,0.8750838377468632,0.7355736549972103
Sweden,210,8,0.2,0.8,-0.19876789455365046,0.03812527077794255,0.8659712351989304,0.7053286114232225
Sweden,210,8,0.5,0.4,-0.26662447916636717,0.07176213003447236,0.8762123033377462,0.6813499542058514
Sweden,210,8,0.5,0.6,-0.23392054086210887,0.054289773562404255,0.8687051483134077,0.6890743810137031
Sweden,210,8,0.5,0.8,-0.23134088834087094,0.037001439361178674,0.854660998908922,0.6603215499292298
Sweden,210,8,0.8,0.4,-0.2818170761017824,0.07168180998178963,0.8736659458936853,0.6635306797736925
Sweden,210,8,0.8,0.6,-0.26147764054936995,0.05259290344220139,0.8636505502934366,0.654765813186268
Sweden,210,8,0.8,0.8,-0.2603122583802145,0.035214693516316814,0.8473644133559237,0.6222668484920261
Sweden,420,2,0.2,0.4,-0.30340952918198255,0.09444505194586265,0.8758054319417021,0.6668409547055822
Sweden,420,2,0.2,0.6,-0.311599853825418,0.07988953808787098,0.8724726160630829,0.6407623003255358
Sweden,420,2,0.2,0.8,-0.3163626617676098,0.056466671667030816,0.8682053407790205,0.6083093506784415
Sweden,420,2,0.5,0.4,-0.3129622534543259,0.09423758549794344,0.8685351436361173,0.6498104756797348
Sweden,420,2,0.5,0.6,-0.3262639951317826,0.0809515074559548,0.8606347740911078,0.61532228641528
Sweden,420,2,0.5,0.8,-0.3360681848499575,0.06190190078936987,0.8512587435521468,0.5770924594915592
Sweden,420,2,0.8,0.4,-0.32152728769876066,0.09411058991446271,0.8614290470388882,0.6340123492545903
Sweden,420,2,0.8,0.6,-0.3387882979282194,0.08176334773609475,0.8494467983263838,0.5924218481342591
Sweden,420,2,0.8,0.8,-0.35205661051981596,0.06529807781522472,0.8359655141400643,0.549206981435473
Sweden,420,4,0.2,0.4,-0.3191420428101267,0.08880089999388235,0.87712648013769,0.6467853373214456
Sweden,420,4,0.2,0.6,-0.3194552540669081,0.0660774838097473,0.8744417321306133,0.6210639618734525
Sweden,420,4,0.2,0.8,-0.3192071752372538,0.030805423793612688,0.8708426491728222,0.5824408977291811
Sweden,420,4,0.5,0.4,-0.33002624694548877,0.08827027029155178,0.8718364450790687,0.6300804684251317
Sweden,420,4,0.5,0.6,-0.3369540185024117,0.06652183642261941,0.8654928999692525,0.5950607178894602
Sweden,420,4,0.5,0.8,-0.3430636473089906,0.03590139266372876,0.8575388403463027,0.5503765857010409
Sweden,420,4,0.8,0.4,-0.33988029254411145,0.08788170199025801,0.8666753032639367,0.6146767127100833
Sweden,420,4,0.8,0.6,-0.3519234996085772,0.06698558452013104,0.857075561061318,0.5721376459728718
Sweden,420,4,0.8,0.8,-0.36232315395121756,0.039404699145551815,0.8456673531725403,0.5227488983668745
Sweden,420,8,0.2,0.4,-0.2905388521558574,0.08415325319720794,0.8786922245410699,0.6723066255824204
Sweden,420,8,0.2,0.6,-0.2719354946914178,0.06416233981414438,0.8765495553572834,0.66877640048001
Sweden,420,8,0.2,0.8,-0.2712730736889274,0.029085038880562953,0.8731332556275978,0.6309452208192334
Sweden,420,8,0.5,0.4,-0.30143248259324745,0.0834491197857002,0.8757373399788221,0.6577539771712748
Sweden,420,8,0.5,0.6,-0.29013658385190705,0.06277083566685984,0.870801070012081,0.6434353218270338
Sweden,420,8,0.5,0.8,-0.2918113731265636,0.033041345194334465,0.8634862120393388,0.6047161841071097
Sweden,420,8,0.8,0.4,-0.3113433472731135,0.08292381416573054,0.8728786735716217,0.6444591404642388
